,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объём двигателя,Цвет,Марка,Класс,Налог
113,BMW X5 M50d IV (G05),8425000,2019,57680,полный,400,Дизель,внедорожник 5 дв.,автомат,3.0,белый,BMW,5,120000
114,Skoda Fabia II Рестайлинг,709000,2012,146000,передний,86,Бензин,хэтчбек 5 дв.,механика,1.4,серебристый,Skoda,1,1032
115,Kia Carnival III,2529000,2018,48000,передний,202,Дизель,минивэн,автомат,2.2,белый,Kia,3,13130
116,Volkswagen Polo VI,1890000,2021,13,передний,110,Бензин,лифтбек,автомат,1.6,серый,Volkswagen,3,2750
117,Kia Mohave I Рестайлинг 2,4480000,2020,50000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Kia,4,20542
118,Hyundai Solaris I Рестайлинг,988000,2014,16464,передний,107,Бензин,седан,автомат,1.4,серый,Hyundai,1,2675
119,Hyundai Staria,5220000,2021,101,полный,177,Дизель,минивэн,автомат,2.2,синий,Hyundai,4,17700
120,Hyundai Solaris II,1388000,2019,22478,передний,123,Бензин,седан,автомат,1.6,белый,Hyundai,2,3075
121,Volkswagen Polo VI,1818000,2021,15208,передний,110,Бензин,лифтбек,автомат,1.6,серый,Volkswagen,3,2750
122,Audi A6 IV (C7) Рестайлинг,2249000,2018,97000,полный,249,Бензин,седан,робот,2.0,серый,Audi,3,18675
123,BMW X5 30d III (F15),2509000,2013,329897,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,3,18675
124,BMW X5 M50i IV (G05),9790000,2019,47955,полный,530,Бензин,внедорожник 5 дв.,автомат,4.4,чёрный,BMW,5,159000
125,Kia Carnival III,2670000,2019,43272,передний,202,Дизель,минивэн,автомат,2.2,чёрный,Kia,3,13130
126,LADA (ВАЗ) Vesta SW I,1230000,2019,67000,передний,113,Бензин,универсал 5 дв.,вариатор,1.6,серый,LADA,2,2825
127,SsangYong Actyon II,940000,2011,112000,полный,149,Дизель,внедорожник 5 дв.,автомат,2.0,белый,SsangYong,1,5215
128,Hyundai Tucson IV,3090000,2022,156,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,серый,Hyundai,4,7425
129,Kia Rio III Рестайлинг,868000,2017,193369,передний,123,Бензин,седан,автомат,1.6,серый,Kia,1,3075
130,Chevrolet Cruze I Рестайлинг,929000,2014,133000,передний,141,Бензин,универсал 5 дв.,механика,1.8,серебристый,Chevrolet,1,4935
131,BMW X5 M50d IV (G05),9790000,2019,39209,полный,400,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,5,120000
132,Kia Carnival III,2600000,2018,54861,передний,202,Дизель,минивэн,автомат,2.2,чёрный,Kia,3,13130
133,Hyundai Solaris II Рестайлинг,1618000,2021,19109,передний,123,Бензин,седан,автомат,1.6,белый,Hyundai,2,3075
134,Skoda Kodiaq I,2290000,2019,117078,полный,150,Бензин,внедорожник 5 дв.,робот,1.4,белый,Skoda,3,6750
135,Hyundai Santa Fe IV Рестайлинг,4150000,2022,39,полный,199,Дизель,внедорожник 5 дв.,робот,2.2,белый,Hyundai,4,10945
136,Mercedes-Benz GLS 400 d II (X167),12999000,2021,18400,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,Mercedes-Benz,5,148500
137,Volkswagen Passat Alltrack B8,2390000,2017,161000,полный,220,Бензин,универсал 5 дв.,робот,2.0,чёрный,Volkswagen,3,14300
138,Toyota RAV4 V (XA50),3530000,2022,109,передний,149,Бензин,внедорожник 5 дв.,вариатор,2.0,белый,Toyota,4,5736
139,Mercedes-Benz S-Класс 350 d Long 4MATIC VII (W223),14999000,2021,13600,полный,249,Дизель,седан,автомат,2.9,чёрный,Mercedes-Benz,5,56025
140,RAM 1500 Crew Cab V,6540000,2020,19950,полный,395,Бензин,пикап двойная кабина,автомат,5.7,чёрный,RAM,5,118500
141,Kia Ceed III,1689000,2019,60000,передний,140,Бензин,универсал 5 дв.,робот,1.4,серый,Kia,2,4900
142,Kia Carnival IV,3729000,2021,24000,передний,199,Дизель,минивэн,автомат,2.2,красный,Kia,4,10945
143,Jeep Wrangler IV (JL),11800000,2022,37,полный,470,Бензин,внедорожник 5 дв.,автомат,6.4,зелёный,Jeep,5,211500
144,Hyundai Tucson IV,4490000,2023,61,полный,186,Дизель,внедорожник 5 дв.,автомат,2.0,коричневый,Hyundai,4,10230
145,Audi Q8 45 TDI I,5500000,2020,50000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,синий,Audi,4,37350
146,Kia Carnival III,3130000,2019,46499,передний,202,Дизель,минивэн,автомат,2.2,белый,Kia,4,13130
147,Mitsubishi Outlander III,1740000,2013,155000,полный,167,Бензин,внедорожник 5 дв.,вариатор,2.4,чёрный,Mitsubishi,3,7515
148,Kia Carnival IV,4988000,2023,20,передний,199,Дизель,минивэн,автомат,2.2,чёрный,Kia,4,10945
149,Renault Kaptur I Рестайлинг,1619000,2020,59000,передний,150,Бензин,внедорожник 5 дв.,вариатор,1.3,чёрный,Renault,2,6750
150,Mercedes-Benz V-Класс XL 300 d экстра длинный II,32850000,2022,150,полный,237,Дизель,минивэн,автомат,2.0,чёрный,Mercedes-Benz,5,53325
151,Lexus LX 570 III Рестайлинг 2,6750000,2017,119000,полный,367,Бензин,внедорожник 5 дв.,автомат,5.7,чёрный,Lexus,5,55050
152,Changan CS35PLUS I,2189000,2022,42,передний,117,Бензин,внедорожник 5 дв.,автомат,1.6,красный,Changan,3,2925
153,Peugeot 308 I Рестайлинг,527000,2012,137285,передний,120,Бензин,хэтчбек 5 дв.,механика,1.6,белый,Peugeot,1,3000
154,BMW X7 40i I (G07) Рестайлинг,15299999,2022,73,полный,381,Бензин,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,5,171450
155,Mercedes-Benz GLE 400 d II (V167),8499000,2020,24632,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,серый,Mercedes-Benz,5,99000
156,Nissan X-Trail III,1836000,2018,106169,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,серебристый,Nissan,3,5040
157,Skoda Rapid II,1670000,2020,55000,передний,125,Бензин,лифтбек,робот,1.4,коричневый,Skoda,2,4375
158,BMW 5 серии 520d xDrive VII (G30/G31),2499000,2018,189000,полный,190,Дизель,универсал 5 дв.,автомат,2.0,серый,BMW,3,9500
159,Renault Duster I Рестайлинг,1599000,2020,55000,полный,143,Бензин,внедорожник 5 дв.,автомат,2.0,белый,Renault,2,5005
160,Hyundai Tucson IV,3188000,2023,20,передний,150,Бензин,внедорожник 5 дв.,автомат,2.0,белый,Hyundai,4,7425
161,LADA (ВАЗ) Largus I,959000,2019,55000,передний,106,Бензин,универсал 5 дв.,механика,1.6,белый,LADA,1,2650
162,Kia Cerato I,330000,2004,239000,передний,105,Бензин,хэтчбек 5 дв.,автомат,1.6,чёрный,Kia,1,2625
163,Mercedes-Benz V-Класс 300 d компактный II,6997000,2020,59000,полный,239,Дизель,минивэн,автомат,2.0,чёрный,Mercedes-Benz,5,35850
164,Mercedes-Benz V-Класс XL 300 d экстра длинный II,38200000,2022,50,полный,237,Дизель,минивэн,автомат,2.0,чёрный,Mercedes-Benz,5,53325
165,Kia Carnival III,3320000,2020,67893,передний,202,Дизель,минивэн,автомат,2.2,чёрный,Kia,4,14443
166,Mercedes-Benz V-Класс XL 300 d экстра длинный II,40700000,2022,50,полный,237,Дизель,минивэн,автомат,2.0,чёрный,Mercedes-Benz,5,53325
167,Ford Mustang Shelby GT350 VI Рестайлинг,7500000,2017,7200,задний,526,Бензин,купе,механика,5.2,синий,Ford,5,78900
168,Hyundai Tucson III Рестайлинг,2437000,2018,67025,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,Hyundai,3,6750
169,Mercedes-Benz GLE AMG 63 AMG I (W166),4900000,2017,75000,полный,557,Бензин,внедорожник 5 дв.,автомат,5.5,чёрный,Mercedes-Benz,4,83550
170,Mercedes-Benz S-Класс 500 Long V (W221) Рестайлинг,1200000,2011,187000,полный,435,Бензин,седан,автомат,4.7,чёрный,Mercedes-Benz,2,65250
171,Skoda Octavia IV (A8),1850000,2020,22414,передний,150,Бензин,лифтбек,автомат,1.4,чёрный,Skoda,3,6750
172,Toyota Camry VII (XV50) Рестайлинг,1765000,2017,120000,передний,150,Бензин,седан,автомат,2.0,чёрный,Toyota,3,6750
173,Smart Fortwo II,1000000,2014,63000,задний,84,Бензин,кабриолет,робот,1.0,красный,Smart,2,1008
174,Ford Mustang VI Рестайлинг,2995000,2020,68759,задний,317,Бензин,кабриолет,автомат,2.3,красный,Ford,3,47550
175,Ford Focus II Рестайлинг,265000,2008,304000,передний,100,Бензин,хэтчбек 3 дв.,механика,1.6,белый,Ford,1,2500
176,Nissan Almera Classic I,465000,2012,200000,передний,107,Бензин,седан,автомат,1.6,чёрный,Nissan,1,2675
177,Lexus GS 350 IV,2350000,2014,58150,полный,317,Бензин,седан,автомат,3.5,белый,Lexus,3,47550
178,LADA (ВАЗ) 2114,135000,2008,208000,передний,81,Бензин,хэтчбек 5 дв.,механика,1.6,чёрный,LADA,1,972
179,Kia Rio IV,952000,2018,233878,передний,123,Бензин,седан,автомат,1.6,чёрный,Kia,1,3075
180,Mercedes-Benz V-Класс XL 300 d экстра длинный II,13445000,2022,15,полный,237,Дизель,минивэн,автомат,2.0,чёрный,Mercedes-Benz,5,53325
181,"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",4590000,2017,16424,полный,333,Бензин,купе-хардтоп,автомат,3.0,чёрный,Mercedes-Benz,4,49950
182,Nissan Qashqai II,1599000,2016,103000,полный,144,Бензин,внедорожник 5 дв.,вариатор,2.0,красный,Nissan,2,5040
183,Kia Carnival III,3398000,2018,54667,передний,202,Дизель,минивэн,автомат,2.2,белый,Kia,4,13130
184,Hyundai Tucson IV,3388000,2022,20,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,Hyundai,4,7425
185,EXEED VX I,5279900,2022,80,полный,249,Бензин,внедорожник 5 дв.,робот,2.0,синий,EXEED,4,37350
186,Audi A6 IV (C7) Рестайлинг,1880000,2016,116000,полный,249,Бензин,седан,робот,2.0,коричневый,Audi,3,18675
187,Kia Carnival IV,4980000,2021,28540,передний,202,Дизель,минивэн,автомат,2.2,белый,Kia,4,14443
188,Kia Carnival III,3080000,2019,53238,передний,202,Дизель,минивэн,автомат,2.2,чёрный,Kia,4,13130
189,Mitsubishi Lancer Evolution V,1550000,1998,99999,полный,280,Бензин,седан,механика,2.0,зелёный,Mitsubishi,2,42000
190,Toyota Camry VIII (XV70),2750000,2018,99300,передний,249,Бензин,седан,автомат,3.5,синий,Toyota,3,18675
191,Audi Q8 45 TDI I,7990000,2020,15280,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,белый,Audi,5,37350
192,Ferrari F8 Tributo,26800000,2021,3300,задний,720,Бензин,купе,робот,3.9,синий,Ferrari,5,324000
193,Ford Focus III,755000,2011,178420,передний,150,Бензин,седан,робот,2.0,серый,Ford,1,6750
194,Chevrolet Camaro VI Рестайлинг,2790000,2019,68100,задний,275,Бензин,купе,автомат,2.0,серый,Chevrolet,3,41250
195,Skoda Kodiaq I,2407000,2019,183108,полный,150,Дизель,внедорожник 5 дв.,робот,2.0,чёрный,Skoda,3,6750
196,Ford Escape II,895000,2011,198222,полный,171,Бензин,внедорожник 5 дв.,автомат,2.5,чёрный,Ford,1,7695
