,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объем двигателя,Цвет,Запас хода
53,Skoda Octavia III (A7),979000,2013,134000,передний,140,Бензин,лифтбек,робот,1.4,серый,
54,Haval F7x I,2469000,2020,15000,полный,190,Бензин,внедорожник 5 дв.,робот,2.0,синий,
55,Kia Carnival III,2717000,2019,41000,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
56,LADA (ВАЗ) Vesta SW Cross I,1195000,2017,60000,передний,122,Бензин,универсал 5 дв.,механика,1.8,оранжевый,
57,EXEED TXL I Рестайлинг,3630000,2022,22,полный,186,Бензин,внедорожник 5 дв.,робот,1.6,серый,
58,BMW 3 серии 325i V (E90/E91/E92/E93),800000,2007,170000,задний,218,Бензин,купе,автомат,2.5,синий,
59,Renault Duster I,990000,2015,86000,полный,90,Дизель,внедорожник 5 дв.,механика,1.5,серый,
60,Renault Duster II,2800000,2022,15,полный,109,Дизель,внедорожник 5 дв.,механика,1.5,коричневый,
61,Nissan Qashqai II,1725000,2019,79000,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,
62,Haval F7x I Рестайлинг,3179000,2022,21,полный,190,Бензин,внедорожник 5 дв.,робот,2.0,красный,
63,BMW X5 40d III (F15),4750000,2018,75000,полный,313,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
64,"Mercedes-Benz E-Класс 230 II (W210, S210)",139000,1995,271265,задний,150,Бензин,седан,автомат,2.3,чёрный,
65,Ford Mustang VI Рестайлинг,2799999,2018,52287,задний,314,Бензин,кабриолет,автомат,2.3,белый,
66,Mercedes-Benz GLE Coupe 350 d I (C292),4290000,2018,77000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,синий,
67,Honda CR-V III Рестайлинг,1395000,2010,210000,полный,166,Бензин,внедорожник 5 дв.,автомат,2.4,серый,
68,Ford Mondeo IV,729000,2008,134000,передний,140,Дизель,универсал 5 дв.,автомат,2.0,серый,
69,Kia Sorento III Prime Рестайлинг,2599000,2018,69000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,серый,
70,Geely Atlas I,1950000,2019,86000,полный,149,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
71,Mercedes-Benz GLE Coupe 350 d I (C292),6500000,2018,10000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
72,Chevrolet Captiva I Рестайлинг,1349000,2013,133000,полный,167,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
73,Changan CS35PLUS I,1880000,2021,40000,передний,117,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
74,BMW X6 30d III (G06),9600000,2022,5500,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
75,Suzuki Jimny III Рестайлинг 1,1069000,2012,134000,полный,85,Бензин,внедорожник 3 дв.,автомат,1.3,чёрный,
76,Toyota Land Cruiser 200 Series Рестайлинг 1,3399000,2014,180000,полный,235,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,
77,Mercedes-Benz GLE Coupe 350 d I (C292),6500000,2018,10000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
78,BMW X6 30d III (G06),9600000,2022,5500,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
79,Porsche Macan S I,2850000,2014,97000,полный,340,Бензин,внедорожник 5 дв.,робот,3.0,коричневый,
80,Hyundai Solaris I Рестайлинг,749000,2015,118000,передний,123,Бензин,хэтчбек 5 дв.,механика,1.6,коричневый,
81,Opel Insignia Country Tourer I Рестайлинг,1300000,2014,174000,полный,249,Бензин,универсал 5 дв.,автомат,2.0,белый,
82,Volkswagen Passat B8,1800000,2016,65000,передний,150,Бензин,седан,робот,1.4,белый,
83,Toyota Camry VIII (XV70),2273000,2018,65000,передний,181,Бензин,седан,автомат,2.5,чёрный,
84,Mercedes-Benz G-Класс AMG 63 AMG II (W463),27894000,2022,88,полный,585,Бензин,внедорожник 5 дв.,автомат,4.0,чёрный,
85,Mercedes-Benz Maybach S-Класс 680 II (Z223),36990000,2022,30,полный,612,Бензин,седан,автомат,6.0,чёрный,
86,Toyota Land Cruiser 300 Series,14900000,2022,59,полный,299,Дизель,внедорожник 5 дв.,автомат,3.4,чёрный,
87,Toyota Land Cruiser Prado 120 Series,1219000,2004,220000,полный,163,Дизель,внедорожник 5 дв.,автомат,3.0,серебристый,
88,Hyundai Palisade I,3519000,2019,45000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,
89,Mercedes-Benz G-Класс AMG 63 AMG II (W463),27500000,2022,28,полный,585,Бензин,внедорожник 5 дв.,автомат,4.0,синий,
90,Hyundai Palisade I,4399000,2020,18000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,белый,
91,Mercedes-Benz S-Класс Long 600 Guard V (W221) Рестайлинг,9100000,2011,61000,задний,517,Бензин,седан,автомат,5.5,чёрный,
92,Toyota Camry VIII (XV70) Рестайлинг,3435000,2022,1000,передний,200,Бензин,седан,автомат,2.5,белый,
93,Toyota Land Cruiser 100 Series Рестайлинг 2,1699000,2006,244000,полный,235,Бензин,внедорожник 5 дв.,автомат,4.7,серебристый,
94,Toyota Land Cruiser Prado 150 Series,2370000,2011,177000,полный,173,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
95,Mazda CX-5 I,1449000,2014,105000,передний,150,Бензин,внедорожник 5 дв.,автомат,2.0,серебристый,
96,Mercedes-Benz Maybach S-Класс 580 II (Z223),34950000,2022,60,полный,503,Бензин,седан,автомат,4.0,чёрный,
97,LADA (ВАЗ) 2131 (4x4) I,120000,1999,110000,полный,82,Бензин,внедорожник 5 дв.,механика,1.8,синий,
98,Kia K5 III,2650000,2020,91000,передний,194,Бензин,седан,автомат,2.5,чёрный,
99,Kia Sportage IV Рестайлинг,3090000,2021,12,передний,150,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
100,Hyundai Solaris II Рестайлинг,1499000,2020,85000,передний,100,Бензин,седан,автомат,1.4,серый,
101,BMW X5 30d IV (G05),9199999,2021,18600,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
102,"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",2949000,2019,92000,задний,197,Бензин,седан,автомат,2.0,чёрный,
103,Kia Sorento 4-speed I,395000,2002,285000,полный,140,Дизель,внедорожник 5 дв.,автомат,2.5,чёрный,
104,BYD Han I Рестайлинг,6300000,2022,90,полный,517,Электро,седан,,,зелёный,Заряд на 610 км
105,BMW 7 серии 760i IV (E65/E66),850000,2004,234645,задний,435,Бензин,седан,автомат,6.0,чёрный,
106,Toyota Land Cruiser Prado 150 Series,2440000,2010,173000,полный,173,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
107,Hyundai Santa Fe IV,2689000,2019,35000,полный,188,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
108,Toyota Land Cruiser 200 Series Рестайлинг 1,4300000,2015,158220,полный,235,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,
109,Toyota Land Cruiser 300 Series,11900000,2022,36,полный,415,Бензин,внедорожник 5 дв.,автомат,3.5,белый,
110,Mercedes-Benz Maybach S-Класс 580 II (Z223),34780000,2022,60,полный,503,Бензин,седан,автомат,4.0,синий,
111,Hyundai Santa Fe IV,2590000,2019,65000,полный,188,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
112,Toyota Land Cruiser 300 Series,12210000,2021,48,полный,415,Бензин,внедорожник 5 дв.,автомат,3.5,белый,
113,Mercedes-Benz GLE 300 d II (V167),6595000,2019,75500,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,серый,
114,Land Rover Range Rover D350 V,26000000,2022,80,полный,350,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
115,Mercedes-Benz GLE 300 d II (V167),11999000,2023,89,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,чёрный,
116,Audi R8 V10 performance II (4S) Рестайлинг,17100000,2020,11000,полный,620,Бензин,родстер,робот,5.2,синий,
117,BMW X6 M Competition III (F96),16000000,2021,18000,полный,625,Бензин,внедорожник 5 дв.,автомат,4.4,зелёный,
118,Toyota Land Cruiser 200 Series Рестайлинг 1,4300000,2015,158220,полный,235,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,
119,Toyota Land Cruiser 300 Series,11900000,2022,36,полный,415,Бензин,внедорожник 5 дв.,автомат,3.5,белый,
120,McLaren 720S,26900000,2018,19000,задний,720,Бензин,купе,робот,4.0,жёлтый,
121,Toyota Hilux VIII Рестайлинг,6500000,2022,5300,полный,204,Дизель,пикап двойная кабина,автомат,2.8,красный,
122,Mercedes-Benz Maybach S-Класс 580 II (Z223),34780000,2022,60,полный,503,Бензин,седан,автомат,4.0,синий,
123,Hyundai Santa Fe IV,2590000,2019,65000,полный,188,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
124,Toyota Land Cruiser 300 Series,12210000,2021,48,полный,415,Бензин,внедорожник 5 дв.,автомат,3.5,белый,
125,"Mercedes-Benz S-Класс 500 VI (W222, C217)",5400000,2014,24156,полный,455,Бензин,купе,автомат,4.7,чёрный,
126,Hyundai Palisade I,3766000,2019,45000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,белый,
127,Porsche Macan S I,4490000,2014,22700,полный,340,Бензин,внедорожник 5 дв.,робот,3.0,чёрный,
128,Ford Mustang VI Рестайлинг,3099999,2021,20114,задний,317,Бензин,купе,автомат,2.3,серый,
129,Land Rover Range Rover Sport II,3149000,2015,117000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,коричневый,
130,Mercedes-Benz V-Класс L 250 d длинный II,4400000,2018,135000,полный,190,Дизель,минивэн,автомат,2.1,чёрный,
131,Toyota Highlander III (U50) Рестайлинг,3589000,2019,67000,полный,249,Бензин,внедорожник 5 дв.,автомат,3.5,белый,
132,Toyota Highlander IV (U70),3849000,2020,24000,полный,295,Бензин,внедорожник 5 дв.,автомат,3.5,серый,
133,EXEED TXL I,2289000,2020,81000,полный,186,Бензин,внедорожник 5 дв.,робот,1.6,фиолетовый,
134,EXEED TXL I Рестайлинг,4249900,2023,80,полный,186,Бензин,внедорожник 5 дв.,робот,1.6,синий,
135,BMW 5 серии 530d xDrive VII (G30/G31),4700000,2019,34000,полный,249,Дизель,седан,автомат,3.0,серый,
136,Porsche Cayenne S Diesel II Рестайлинг (958),5250000,2014,113645,полный,385,Дизель,внедорожник 5 дв.,автомат,4.1,синий,
137,Chevrolet Equinox III,1640000,2019,42000,полный,170,Бензин,внедорожник 5 дв.,автомат,1.5,серебристый,
138,Mercedes-Benz GLS 400 d II (X167),15790000,2023,10,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,
139,LADA (ВАЗ) 2131 (4x4) I,410000,2011,11000,полный,83,Бензин,внедорожник 5 дв.,механика,1.7,зелёный,
140,Porsche Cayenne S Coupé III,13000000,2021,27245,полный,440,Бензин,внедорожник 5 дв.,автомат,2.9,оранжевый,
141,Chevrolet Cruze I Рестайлинг,590000,2014,176000,передний,109,Бензин,седан,автомат,1.6,белый,
142,BMW X5 30d IV (G05),6390000,2019,65000,полный,265,Дизель,внедорожник 5 дв.,автомат,3.0,синий,
143,Porsche Cayenne III,8160000,2020,46489,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,чёрный,
144,Porsche Cayenne III,12000000,2022,39816,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,серый,
145,Porsche Cayenne S III,13500000,2021,2916,полный,440,Бензин,внедорожник 5 дв.,автомат,2.9,синий,
146,Porsche Cayenne III,6750000,2019,66232,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,серебристый,
147,Porsche Cayenne GTS Coupé III,16790000,2022,5983,полный,460,Бензин,внедорожник 5 дв.,автомат,4.0,синий,
148,Porsche Cayenne III,12000000,2021,25509,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,коричневый,
149,Porsche Cayenne III,13090650,2022,20,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,коричневый,
150,Mercedes-Benz V-Класс XL 300 d экстра длинный II,28500000,2022,150,полный,237,Дизель,минивэн,автомат,2.0,чёрный,
151,BMW X6 M Competition III (F96),16000000,2021,18000,полный,625,Бензин,внедорожник 5 дв.,автомат,4.4,зелёный,
152,Kia Sportage V,3280000,2023,121,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,
153,Nissan X-Trail III Рестайлинг,2405000,2021,47000,полный,144,Бензин,внедорожник 5 дв.,вариатор,2.0,серый,
154,McLaren 720S,26900000,2018,19000,задний,720,Бензин,купе,робот,4.0,жёлтый,
155,BMW X5 30d II (E70) Рестайлинг,1985000,2011,160000,полный,245,Дизель,внедорожник 5 дв.,автомат,3.0,синий,
156,BMW X5 M50d IV (G05),8425000,2019,57680,полный,400,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
157,Skoda Fabia II Рестайлинг,709000,2012,146000,передний,86,Бензин,хэтчбек 5 дв.,механика,1.4,серебристый,
158,Toyota Hilux VIII Рестайлинг,6500000,2022,5300,полный,204,Дизель,пикап двойная кабина,автомат,2.8,красный,
159,Kia Carnival III,2529000,2018,48000,передний,202,Дизель,минивэн,автомат,2.2,белый,
160,Volkswagen Polo VI,1890000,2021,13,передний,110,Бензин,лифтбек,автомат,1.6,серый,
161,Kia Mohave I Рестайлинг 2,4480000,2020,50000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
162,Hyundai Solaris I Рестайлинг,988000,2014,16464,передний,107,Бензин,седан,автомат,1.4,серый,
163,Hyundai Staria,5220000,2021,101,полный,177,Дизель,минивэн,автомат,2.2,синий,
164,"Mercedes-Benz S-Класс 500 VI (W222, C217)",5400000,2014,24156,полный,455,Бензин,купе,автомат,4.7,чёрный,
165,Hyundai Solaris II,1388000,2019,22478,передний,123,Бензин,седан,автомат,1.6,белый,
166,Volkswagen Polo VI,1818000,2021,15208,передний,110,Бензин,лифтбек,автомат,1.6,серый,
