,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объем двигателя,Цвет,Запас хода
378,BMW X5 40d IV (G05),9690000,2022,28800,полный,340,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
379,Kia Mohave I Рестайлинг 2,5350000,2020,22404,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
380,Hyundai Grand Starex I Рестайлинг,3030000,2018,67443,задний,174,Дизель,минивэн,автомат,2.5,серый,
381,Toyota Crown XII (S180),550000,2005,270000,задний,256,Бензин,седан,автомат,3.0,чёрный,
382,Volvo S80 II,845000,2007,303000,передний,200,Бензин,седан,автомат,2.5,чёрный,
383,Dodge Challenger R__T III Рестайлинг 2,3750000,2019,33000,задний,380,Бензин,купе,автомат,5.7,серый,
384,Land Rover Range Rover Sport I Рестайлинг,1490000,2012,146000,полный,245,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
385,Hyundai Sonata VIII (DN8),3779000,2022,14,передний,180,Бензин,седан,автомат,2.5,чёрный,
386,Audi A6 IV (C7),1221000,2012,297000,полный,204,Бензин,седан,робот,2.8,чёрный,
387,Kia Mohave I Рестайлинг 2,5320000,2020,49466,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
388,Hyundai Grand Starex I Рестайлинг 2,2965000,2019,86393,задний,175,Дизель,минивэн,автомат,2.5,серый,
389,Ford Mustang VI Рестайлинг,3390000,2019,41000,задний,317,Бензин,кабриолет,автомат,2.3,серый,
390,Nissan Patrol V (Y61) Рестайлинг,7170000,2022,55,полный,280,Бензин,внедорожник 5 дв.,автомат,4.8,белый,
391,Mercedes-Benz GLE 350 d I (W166),3237000,2015,148000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,коричневый,
392,Jeep Grand Cherokee IV (WK2) Рестайлинг,4299000,2019,57200,полный,250,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
393,Kia Cerato IV,1888000,2019,35422,передний,150,Бензин,седан,автомат,2.0,белый,
394,Cadillac ATS I,1220000,2013,68000,задний,276,Бензин,седан,автомат,2.0,чёрный,
395,Mazda CX-5 II Рестайлинг,3540000,2022,441,полный,194,Бензин,внедорожник 5 дв.,автомат,2.5,серебристый,
396,Kia Mohave I Рестайлинг 2,4750000,2019,77579,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
397,Kia Mohave I Рестайлинг 2,5200000,2020,45186,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
398,Hyundai Sonata VIII (DN8),2228000,2020,38420,передний,150,Бензин,седан,автомат,2.0,серый,
399,Renault Kaptur I,1582000,2017,48378,полный,143,Бензин,внедорожник 5 дв.,автомат,2.0,синий,
400,BMW 5 серии M550d xDrive VII (G30/G31),7250000,2020,41000,полный,400,Дизель,седан,автомат,3.0,чёрный,
401,Mercedes-Benz C-Класс 280 III (W204),780000,2009,176000,полный,231,Бензин,седан,автомат,3.0,чёрный,
402,Kia Mohave I Рестайлинг 2,5150000,2020,45223,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
403,Mercedes-Benz G-Класс AMG 63 AMG II (W463),24500000,2019,9100,полный,585,Бензин,внедорожник 5 дв.,автомат,4.0,чёрный,
404,Hyundai Grand Starex I Рестайлинг 2,2745000,2018,43798,задний,175,Дизель,минивэн,автомат,2.5,синий,
405,Kia K7 YG (II) Рестайлинг,2847000,2019,45000,передний,198,Бензин,седан,автомат,2.5,чёрный,
406,Jetour X70 PLUS,2750000,2023,31,передний,197,Бензин,внедорожник 5 дв.,робот,1.6,чёрный,
407,Kia Mohave I Рестайлинг 2,4940000,2019,31250,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
408,Kia Mohave I Рестайлинг 2,4450000,2019,89512,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
409,Kia Mohave I Рестайлинг 2,4940000,2019,31250,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
410,Kia Mohave I Рестайлинг 2,4450000,2019,89512,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
411,Skoda Kodiaq I,2340000,2018,129000,полный,150,Дизель,внедорожник 5 дв.,робот,2.0,серебристый,
412,LADA (ВАЗ) Largus I,1200000,2018,33451,передний,87,Бензин,универсал 5 дв.,механика,1.6,серый,
413,Kia Mohave I Рестайлинг 2,5320000,2021,26772,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
414,Hyundai Sonata VIII (DN8),3248000,2021,8771,передний,180,Бензин,седан,автомат,2.5,синий,
415,Kia Sorento IV,4499000,2022,23,полный,179,Бензин,внедорожник 5 дв.,автомат,2.5,чёрный,
416,Porsche Cayenne III,5890000,2018,43000,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,чёрный,
417,Chevrolet Cruze I,598000,2010,190314,передний,141,Бензин,седан,автомат,1.8,чёрный,
418,Mercedes-Benz SL-Класс AMG 63 AMG III (R231),5555000,2014,43000,задний,537,Бензин,родстер,автомат,5.5,синий,
419,BMW 3 серии 320i xDrive VI (F3x),1800000,2014,125000,полный,184,Бензин,седан,автомат,2.0,чёрный,
420,Mercedes-Benz S-Класс 350 d Long 4MATIC VII (W223),14349000,2021,41684,полный,249,Дизель,седан,автомат,2.9,чёрный,
421,Kia Mohave I Рестайлинг 2,4440000,2019,65151,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
422,Nissan Terrano III (D10),1818000,2021,28341,полный,143,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
423,Kia Mohave I Рестайлинг 2,4900000,2019,22486,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
424,"Mercedes-Benz S-Класс 450 Long VI (W222, C217) Рестайлинг",5700000,2018,93211,полный,367,Бензин,седан,автомат,3.0,синий,
425,Changan CS55 I,2399000,2023,30,передний,143,Бензин,внедорожник 5 дв.,автомат,1.5,белый,
426,Kia Sorento IV,3450000,2020,51391,полный,179,Бензин,внедорожник 5 дв.,автомат,2.5,пурпурный,
427,Lexus LX 450d III Рестайлинг 2,13999000,2021,18879,полный,272,Дизель,внедорожник 5 дв.,автомат,4.5,белый,
428,Nissan Tiida I Рестайлинг,778000,2010,122175,передний,110,Бензин,хэтчбек 5 дв.,автомат,1.6,чёрный,
429,Toyota Land Cruiser Prado 150 Series Рестайлинг 3,5990000,2022,429,полный,200,Дизель,внедорожник 5 дв.,автомат,2.8,чёрный,
430,Chevrolet Cruze I,489000,2010,185170,передний,109,Бензин,седан,механика,1.6,серый,
431,Geely Tugella I,3499000,2021,6000,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
432,Maserati Quattroporte S V Рестайлинг,1930000,2008,89300,задний,430,Бензин,седан,автомат,4.7,чёрный,
433,Mercedes-Benz S-Класс 450 Long VII (W223),20500000,2022,30,полный,367,Бензин,седан,автомат,3.0,серый,
434,Ford Focus II,490000,2007,187000,передний,115,Бензин,хэтчбек 3 дв.,механика,1.6,синий,
435,Opel Insignia I,915000,2012,175000,передний,220,Бензин,лифтбек,автомат,2.0,коричневый,
436,Land Rover Defender 90 II,14870000,2021,100,полный,400,Бензин,внедорожник 3 дв.,автомат,3.0,зелёный,
437,Nissan Serena V (C27),1890000,2017,87000,передний,150,Гибрид,минивэн,вариатор,2.0,серебристый,
438,Hyundai Santa Fe IV Рестайлинг,5200000,2023,21,полный,249,Бензин,внедорожник 5 дв.,автомат,3.5,серый,
439,Volvo XC90 II,3990000,2019,49776,полный,320,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,
440,Nissan Qashqai II Рестайлинг,2448000,2021,28723,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,
441,Kia K5 III,2950000,2022,133,передний,150,Бензин,седан,автомат,2.0,серый,
442,Mercedes-Benz GLC 300 d I (X253) Рестайлинг,4377000,2019,36935,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,чёрный,
443,"Mercedes-Benz E-Класс 200 7G-Tronic IV (W212, S212, C207)",1060000,2012,152000,задний,184,Бензин,седан,автомат,1.8,чёрный,
444,Lincoln Corsair I,3750000,2020,36220,полный,250,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
445,Mercedes-Benz C-Класс 220 II (W203),235000,2001,300000,задний,143,Дизель,седан,автомат,2.2,серебристый,
446,Land Rover Defender 90 II,14870000,2021,100,полный,400,Бензин,внедорожник 3 дв.,автомат,3.0,зелёный,
447,Nissan Qashqai II Рестайлинг,2448000,2021,28723,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,
448,Kia K5 III,2950000,2022,133,передний,150,Бензин,седан,автомат,2.0,серый,
449,Mercedes-Benz GLC 300 d I (X253) Рестайлинг,4377000,2019,36935,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,чёрный,
450,BMW 3 серии 320d xDrive VI (F3x) Рестайлинг,2300000,2018,107000,полный,190,Дизель,седан,автомат,2.0,синий,
451,Nissan Serena V (C27),1890000,2017,87000,передний,150,Гибрид,минивэн,вариатор,2.0,серебристый,
452,Kia Ceed I Рестайлинг,776000,2011,115897,передний,122,Бензин,универсал 5 дв.,автомат,1.6,серебристый,
453,Hyundai Santa Fe IV Рестайлинг,5200000,2023,21,полный,249,Бензин,внедорожник 5 дв.,автомат,3.5,серый,
454,Volkswagen Tiguan I Рестайлинг,1424000,2012,112379,полный,170,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
455,Volvo XC90 II,3990000,2019,49776,полный,320,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,
456,Skoda Rapid I Рестайлинг,1295000,2018,43991,передний,110,Бензин,лифтбек,автомат,1.6,серебристый,
457,Lexus LX 600 IV,18211000,2022,107,полный,415,Бензин,внедорожник 5 дв.,автомат,3.5,серый,
458,Opel Insignia I Рестайлинг,1518000,2014,43014,передний,170,Бензин,седан,автомат,1.6,серебристый,
459,Land Rover Range Rover P530 V,25500000,2022,70,полный,530,Бензин,внедорожник 5 дв.,автомат,4.4,чёрный,
460,Kia K7 YG (II) Рестайлинг,3016000,2019,44000,передний,198,Бензин,седан,автомат,2.5,чёрный,
461,"Mercedes-Benz E-Класс 200 7G-Tronic IV (W212, S212, C207)",1060000,2012,152000,задний,184,Бензин,седан,автомат,1.8,чёрный,
462,Mercedes-Benz GLE Coupe 450 II (C167),10997000,2021,31700,полный,367,Бензин,внедорожник 5 дв.,автомат,3.0,серый,
463,Lincoln Corsair I,3750000,2020,36220,полный,250,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
464,Mercedes-Benz C-Класс 220 II (W203),235000,2001,300000,задний,143,Дизель,седан,автомат,2.2,серебристый,
465,Volkswagen Tiguan I Рестайлинг,1287000,2012,167000,полный,200,Бензин,внедорожник 5 дв.,автомат,2.0,синий,
466,Ford Focus II Рестайлинг,510000,2009,123212,передний,100,Бензин,седан,механика,1.6,серебристый,
467,Ford Focus II Рестайлинг,451000,2010,262198,передний,100,Бензин,хэтчбек 5 дв.,механика,1.6,серебристый,
468,Toyota RAV4 IV (XA40) Рестайлинг,2004000,2016,111000,полный,146,Бензин,внедорожник 5 дв.,вариатор,2.0,белый,
469,Ford Focus II Рестайлинг,495000,2008,238000,передний,100,Бензин,хэтчбек 5 дв.,автомат,1.6,фиолетовый,
470,BMW 3 серии 320i V (E90/E91/E92/E93),755000,2007,180000,задний,150,Бензин,седан,автомат,2.0,синий,
471,Mercedes-Benz G-Класс AMG 65 AMG I (W463) Рестайлинг 2,12500000,2015,65900,полный,612,Бензин,внедорожник 5 дв.,автомат,6.0,чёрный,
472,УАЗ Patriot I Рестайлинг 3,1378000,2019,78000,полный,150,Бензин,внедорожник 5 дв.,механика,2.7,серебристый,
473,Nissan X-Trail II Рестайлинг,1530000,2013,121500,полный,141,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,
474,Mercedes-Benz GLE 450 II (V167),6400000,2019,95800,полный,367,Бензин,внедорожник 5 дв.,автомат,3.0,белый,
475,Renault Duster I,1032000,2014,80680,полный,135,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
476,Ford Focus III,695000,2012,191927,передний,105,Бензин,хэтчбек 5 дв.,механика,1.6,белый,
477,BMW 7 серии 740d xDrive VI (G11/G12) Рестайлинг,6400000,2020,88000,полный,320,Дизель,седан,автомат,3.0,чёрный,
478,Toyota Camry VIII (XV70),2849000,2020,19129,передний,181,Бензин,седан,автомат,2.5,белый,
479,Jaguar XJ Long IV (X351),1680000,2012,152000,задний,275,Дизель,седан,автомат,3.0,белый,
480,Suzuki Grand Vitara II Рестайлинг,995000,2005,92945,полный,128,Бензин,внедорожник 5 дв.,автомат,2.0,бежевый,
481,"Mercedes-Benz E-Класс 400 d V (W213, S213, C238)",7595000,2019,29800,полный,340,Дизель,универсал 5 дв.,автомат,2.9,чёрный,
482,Ford Focus III Рестайлинг,830000,2016,139012,передний,105,Бензин,хэтчбек 5 дв.,робот,1.6,коричневый,
483,Kia Rio III Рестайлинг,810000,2016,125010,передний,123,Бензин,хэтчбек 5 дв.,механика,1.6,коричневый,
484,Ford Focus III Рестайлинг,1085000,2016,185784,передний,150,Бензин,универсал 5 дв.,автомат,1.5,чёрный,
485,Ford Focus II Рестайлинг,449000,2010,197935,передний,80,Бензин,хэтчбек 3 дв.,механика,1.4,белый,
486,"Mercedes-Benz E-Класс 200 7G-Tronic IV (W212, S212, C207)",1060000,2012,152000,задний,184,Бензин,седан,автомат,1.8,чёрный,
487,Chevrolet Captiva II,2549000,2022,20,передний,147,Бензин,внедорожник 5 дв.,вариатор,1.5,серый,
488,Lincoln Corsair I,3750000,2020,36220,полный,250,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
489,Kia Rio IV Рестайлинг,1430000,2021,40463,передний,123,Бензин,седан,автомат,1.6,красный,
490,Toyota Camry VIII (XV70),2680000,2019,37967,передний,181,Бензин,седан,автомат,2.5,чёрный,
491,Opel Meriva B,724000,2013,145288,передний,100,Бензин,компактвэн,механика,1.4,серый,
492,Mercedes-Benz GLS 350 d I (X166),5299000,2018,139848,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
493,Mercedes-Benz GLC 200 II (X254),9300000,2022,30,полный,204,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
494,Kia Rio 4-speed III,723000,2012,150104,передний,123,Бензин,седан,автомат,1.6,серый,
495,Haval H5 I,2349000,2020,14,полный,177,Бензин,внедорожник 5 дв.,механика,2.0,чёрный,
496,Ford Focus II Рестайлинг,639000,2011,197800,передний,145,Бензин,седан,автомат,2.0,чёрный,
497,Kia Rio III Рестайлинг,879000,2015,175506,передний,123,Бензин,хэтчбек 5 дв.,автомат,1.6,коричневый,
498,Skoda Rapid II,1479000,2020,25000,передний,110,Бензин,лифтбек,автомат,1.6,белый,
499,Ford Focus II,427000,2007,185000,передний,100,Бензин,хэтчбек 5 дв.,механика,1.6,серебристый,
500,Ford Focus II Рестайлинг,445000,2008,126523,передний,80,Бензин,хэтчбек 5 дв.,механика,1.4,синий,
501,Peugeot 308 I,469000,2008,244741,передний,120,Бензин,хэтчбек 5 дв.,автомат,1.6,чёрный,
502,Mercedes-Benz C-Класс 220 II (W203),235000,2001,300000,задний,143,Дизель,седан,автомат,2.2,серебристый,
503,Mercedes-Benz G-Класс AMG 65 AMG I (W463) Рестайлинг 2,12500000,2015,65900,полный,612,Бензин,внедорожник 5 дв.,автомат,6.0,чёрный,
504,Mercedes-Benz GLE 450 II (V167),6400000,2019,95800,полный,367,Бензин,внедорожник 5 дв.,автомат,3.0,белый,
505,Ford Focus III,530000,2012,324368,передний,125,Бензин,хэтчбек 5 дв.,механика,1.6,коричневый,
506,BMW 7 серии 740d xDrive VI (G11/G12) Рестайлинг,6400000,2020,88000,полный,320,Дизель,седан,автомат,3.0,чёрный,
507,Kia K5 III,3650000,2022,39,передний,194,Бензин,седан,автомат,2.5,белый,
508,Kia Ceed III Рестайлинг,1879000,2021,25061,передний,128,Бензин,универсал 5 дв.,автомат,1.6,серебристый,
509,Jaguar XJ Long IV (X351),1680000,2012,152000,задний,275,Дизель,седан,автомат,3.0,белый,
510,Mitsubishi Lancer X,555000,2008,255000,передний,150,Бензин,седан,вариатор,2.0,зелёный,
511,Toyota Camry VIII (XV70),1885000,2018,103600,передний,150,Бензин,седан,автомат,2.0,белый,
512,Renault Duster I Рестайлинг,1252000,2015,134372,полный,143,Бензин,внедорожник 5 дв.,механика,2.0,коричневый,
513,Suzuki Grand Vitara II Рестайлинг,995000,2005,92945,полный,128,Бензин,внедорожник 5 дв.,автомат,2.0,бежевый,
514,"Mercedes-Benz E-Класс 400 d V (W213, S213, C238)",7595000,2019,29800,полный,340,Дизель,универсал 5 дв.,автомат,2.9,чёрный,
515,Kia Sorento IV,3470000,2021,66000,полный,179,Бензин,внедорожник 5 дв.,автомат,2.5,серый,
516,Mercedes-Benz GLE Coupe 400 d II (C167),13475000,2022,26,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,белый,
517,Toyota RAV4 IV (XA40) Рестайлинг,2165000,2017,136938,полный,151,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,
518,Hyundai Staria,5450000,2021,14900,полный,177,Дизель,минивэн,автомат,2.2,чёрный,
519,Volkswagen Caravelle Long T6,2850000,2018,115000,передний,150,Дизель,минивэн,робот,2.0,бежевый,
520,LADA (ВАЗ) 2104 4-speed,1500000,1986,38000,задний,72,Бензин,универсал 5 дв.,механика,1.5,бежевый,
521,Chevrolet Suburban IX,770000,1995,432990,полный,250,Бензин,внедорожник 5 дв.,автомат,5.7,чёрный,
522,Ford Mustang Shelby GT350 VI Рестайлинг,5790000,2017,52784,задний,526,Бензин,купе,механика,5.2,красный,
523,Jeep Wrangler IV (JL),5690000,2021,19505,полный,285,Бензин,внедорожник 5 дв.,автомат,3.6,красный,
524,Volkswagen Tiguan I Рестайлинг,1199000,2012,149000,полный,170,Бензин,внедорожник 5 дв.,автомат,2.0,серебристый,
525,Hyundai Santa Fe IV,2990000,2019,37000,передний,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,
526,Kia Rio III,650000,2013,165234,передний,107,Бензин,седан,автомат,1.4,серебристый,
527,Kia Sorento II Рестайлинг,1495000,2014,136000,передний,175,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
528,BMW X7 M50d I (G07),10540000,2019,62373,полный,400,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
529,Kia Sorento II Рестайлинг,2230000,2018,84193,передний,175,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
530,Kia Rio IV,1185000,2017,128812,передний,123,Бензин,седан,автомат,1.6,чёрный,
531,Kia Rio 6-speed III,850000,2015,101200,передний,123,Бензин,седан,автомат,1.6,серый,
532,Kia Sorento II,1295000,2010,203947,полный,197,Дизель,внедорожник 5 дв.,автомат,2.2,серый,
533,Toyota Highlander II (U40) Рестайлинг,1695000,2011,214750,полный,273,Бензин,внедорожник 5 дв.,автомат,3.5,серый,
534,Kia Rio IV Рестайлинг,1960000,2021,16000,передний,123,Бензин,седан,автомат,1.6,синий,
535,Peugeot 308 I,410000,2010,237295,передний,120,Бензин,универсал 5 дв.,механика,1.6,чёрный,
536,Volkswagen Polo V,749000,2014,142363,передний,105,Бензин,седан,автомат,1.6,серый,
537,Skoda Rapid II,1299000,2020,59859,передний,110,Бензин,лифтбек,автомат,1.6,белый,
538,Renault Duster I,810000,2012,92013,передний,135,Бензин,внедорожник 5 дв.,автомат,2.0,серебристый,
539,Peugeot 308 I Рестайлинг,540000,2012,175000,передний,120,Бензин,хэтчбек 5 дв.,автомат,1.6,белый,
540,Ford Kuga II,950000,2013,221000,передний,150,Бензин,внедорожник 5 дв.,механика,1.6,чёрный,
541,Skoda Rapid I,750000,2016,236493,передний,90,Бензин,лифтбек,механика,1.6,синий,
542,ГАЗ 21 «Волга» 21Р,1950000,1970,34165,задний,75,Бензин,седан,механика,2.5,серый,
543,Skoda Rapid II,1690000,2022,19696,передний,110,Бензин,лифтбек,автомат,1.6,чёрный,
544,Volkswagen Golf VI,780000,2011,112000,передний,122,Бензин,хэтчбек 3 дв.,робот,1.4,синий,
545,Volkswagen Touareg III,4500000,2019,93500,полный,231,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
546,Volkswagen Polo V Рестайлинг,1107000,2018,94415,передний,110,Бензин,седан,механика,1.6,чёрный,
547,Suzuki Grand Vitara III,700000,2006,270000,полный,140,Бензин,внедорожник 5 дв.,автомат,2.0,красный,
548,Toyota RAV4 V (XA50),4149000,2022,1056,полный,205,Бензин,внедорожник 5 дв.,автомат,2.5,зелёный,
549,Mercedes-Benz G-Класс AMG 63 AMG II (W463),26500000,2022,29,полный,585,Бензин,внедорожник 5 дв.,автомат,4.0,чёрный,
550,Kia Sorento II Рестайлинг,1370000,2014,285859,полный,175,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
551,Toyota RAV4 IV (XA40) Рестайлинг,2150000,2017,78410,полный,146,Бензин,внедорожник 5 дв.,вариатор,2.0,белый,
552,Toyota Land Cruiser Prado 150 Series Рестайлинг 1,3595000,2015,48000,полный,173,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
553,Ford Focus II Рестайлинг,456000,2009,202665,передний,100,Бензин,хэтчбек 5 дв.,автомат,1.6,чёрный,
554,Porsche Taycan I,9350000,2021,28178,задний,476,Электро,седан,,,голубой,Заряд на 484 км
555,Skoda Rapid I,960000,2015,40800,передний,125,Бензин,лифтбек,робот,1.4,белый,
556,Mercedes-Benz M-Класс 350 II (W164) Рестайлинг,1030000,2009,152427,полный,272,Бензин,внедорожник 5 дв.,автомат,3.5,чёрный,
557,Toyota Camry VIII (XV70),1885000,2018,103600,передний,150,Бензин,седан,автомат,2.0,белый,
558,Mazda 6 III (GJ) Рестайлинг,1390000,2015,96000,передний,150,Бензин,седан,автомат,2.0,чёрный,
559,Mercedes-Benz GLE 350 d I (W166),3999000,2017,79506,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
560,Peugeot 308 I,469000,2008,244741,передний,120,Бензин,хэтчбек 5 дв.,автомат,1.6,чёрный,
561,Kia K5 III,3650000,2022,39,передний,194,Бензин,седан,автомат,2.5,белый,
562,Infiniti QX60 I Рестайлинг,3750000,2019,19750,полный,283,Бензин,внедорожник 5 дв.,вариатор,3.5,белый,
563,Kia Ceed III Рестайлинг,1879000,2021,25061,передний,128,Бензин,универсал 5 дв.,автомат,1.6,серебристый,
564,Fiat Punto III Grande Punto,310000,2008,177500,передний,77,Бензин,хэтчбек 3 дв.,механика,1.4,красный,
565,Mitsubishi Lancer X,555000,2008,255000,передний,150,Бензин,седан,вариатор,2.0,зелёный,
566,Renault Duster I Рестайлинг,1252000,2015,134372,полный,143,Бензин,внедорожник 5 дв.,механика,2.0,коричневый,
567,Dodge Challenger R__T III Рестайлинг 2,3580000,2019,39000,задний,380,Бензин,купе,механика,5.7,чёрный,
568,Toyota Prius IV Рестайлинг (XW50),1930000,2019,45000,передний,98,Гибрид,лифтбек,автомат,1.8,белый,
569,Porsche Cayenne Coupé III,13000000,2021,8080,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,белый,
570,Mercedes-Benz GLS 350 d I (X166),5299000,2018,139848,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
571,Ford Explorer VI,3050000,2020,19800,полный,300,Бензин,внедорожник 5 дв.,автомат,2.3,белый,
572,Kia Sorento IV,3470000,2021,66000,полный,179,Бензин,внедорожник 5 дв.,автомат,2.5,серый,
573,Mercedes-Benz GLE Coupe 400 d II (C167),13475000,2022,26,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,белый,
574,Toyota RAV4 IV (XA40) Рестайлинг,2165000,2017,136938,полный,151,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,
575,Renault Duster I Рестайлинг,1499000,2019,92000,полный,114,Бензин,внедорожник 5 дв.,механика,1.6,чёрный,
576,Kia Sorento IV,4199000,2021,22731,полный,202,Дизель,внедорожник 5 дв.,робот,2.2,белый,
577,Mercedes-Benz G-Класс 350 d III (W463),13745000,2019,70090,полный,286,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,
578,Mercedes-Benz CLK-Класс 240 II (W209),520000,2002,345000,задний,170,Бензин,купе-хардтоп,автомат,2.6,белый,
579,Kia Sorento III Prime Рестайлинг,3050000,2019,88314,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,белый,
580,BMW 3 серии 316i VI (F3x),1295000,2013,168248,задний,136,Бензин,седан,автомат,1.6,коричневый,
581,Skoda Rapid I,470000,2015,250000,передний,75,Бензин,лифтбек,механика,1.2,белый,
582,BMW X3 28i xDrive II (F25),1870000,2012,107853,полный,245,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
583,Toyota RAV4 IV (XA40) Рестайлинг,2185000,2018,66050,полный,146,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,
584,Skoda Rapid I Рестайлинг,1615000,2019,32763,передний,125,Бензин,лифтбек,робот,1.4,чёрный,
585,Mitsubishi RVR I,235000,1992,287756,полный,88,Дизель,компактвэн,автомат,2.0,белый,
586,"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",3177000,2018,90220,полный,184,Бензин,седан,автомат,2.0,серый,
587,Kia Rio III,585000,2013,157591,передний,107,Бензин,седан,механика,1.4,серый,
588,Volkswagen Tiguan I Рестайлинг,1199000,2012,149000,полный,170,Бензин,внедорожник 5 дв.,автомат,2.0,серебристый,
589,Kia Sorento II Рестайлинг,1495000,2014,136000,передний,175,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
590,Nissan Serena V (C27),1880000,2018,99000,передний,150,Гибрид,минивэн,вариатор,2.0,белый,
591,Cadillac Escalade IV,6400000,2019,60000,полный,426,Бензин,внедорожник 5 дв.,автомат,6.2,чёрный,
592,Toyota Land Cruiser Prado 150 Series Рестайлинг 1,4170000,2017,79000,полный,177,Дизель,внедорожник 5 дв.,автомат,2.8,чёрный,
593,BMW X7 M50d I (G07),10540000,2019,62373,полный,400,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
594,LADA (ВАЗ) 2114,68000,2004,222222,передний,77,Бензин,хэтчбек 5 дв.,механика,1.5,жёлтый,
595,Chevrolet Cruze I,660000,2012,195081,передний,141,Бензин,седан,автомат,1.8,чёрный,
596,Skoda Rapid II,1728000,2021,30750,передний,125,Бензин,лифтбек,робот,1.4,серый,
597,Kia K5 III,2319000,2020,47000,передний,194,Бензин,седан,автомат,2.5,чёрный,
598,Mercedes-Benz G-Класс 350 d III (W463),15499000,2020,23500,полный,249,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,
599,Skoda Rapid I,969000,2014,109000,передний,105,Бензин,лифтбек,автомат,1.6,чёрный,
600,Hyundai Palisade I,4775000,2021,54500,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,
601,Mercedes-Benz V-Класс L 250 d длинный II,5850000,2018,63829,полный,190,Дизель,минивэн,автомат,2.1,синий,
602,Mercedes-Benz C-Класс 300 V (W206),7700000,2021,1251,задний,258,Бензин,седан,автомат,2.0,серый,
603,Volkswagen Touareg I Рестайлинг,880000,2007,152000,полный,174,Дизель,внедорожник 5 дв.,автомат,2.5,чёрный,
604,Opel Meriva B,799000,2012,140000,передний,120,Бензин,компактвэн,автомат,1.4,серый,
605,Ford Focus II Рестайлинг,510000,2010,189237,передний,100,Бензин,хэтчбек 5 дв.,автомат,1.6,чёрный,
606,BMW 5 серии 525i IV (E39) Рестайлинг,400000,2002,256443,задний,192,Бензин,седан,механика,2.5,серый,
